QKEY,INTERVIEW_START_W146,INTERVIEW_END_W146,DEVICE_TYPE_W146,LANG_W146,FORM_W146,CONVFAM_POL_W146,CONVFAM_JOB_W146,CONVFAM_MDIA_W146,CONVFAM_RLG_W146,CONVFAM_SPRT_W146,CONVFAM_HLTH_W146,CONVFAM_NAT_W146,CONVFAM_LOC_W146,CONVFAM_FAM_W146,CONVFAM_CELEB_W146,CONVFAM_MONEY_W146,CONVFAM_PETS_W146,POL1JB_W146,POL1JBSTR_W146,CAMPNII_W146,PRZCMPGN_W146,MATTERS_W146,VOTEGEN_W146,VOTEGEN3_W146,QUALPRES_TRMP_MF_W146,QUALPRES_TRMP_PHY_W146,QUALPRES_TRMP_ADV_W146,QUALPRES_TRMP_ETH_W146,QUALPRES_TRMP_RSP_W146,QUALPRES_BDN_MF_W146,QUALPRES_BDN_PHY_W146,QUALPRES_BDN_ADV_W146,QUALPRES_BDN_ETH_W146,QUALPRES_BDN_RSP_W146,ELECTFTIGUE_W146,CMFRT_LIST_PRN_W146,CMFRT_LIST_ENG_W146,CMFRT_LIST_PRY_W146,CMFRT_LIST_MDN_W146,GOVSIZE1_W146,GOVT_ROLE_W146,USEXCEPT_W146,REGULATE_W146,ALLIES_W146,DISCRIM_W146,USASOLVE_W146,GOVWASTE_W146,RELIG_GOV_W146,DIVERSEPOP_MOD_W146,POLICY3MOD_W146,PRESGOODTRUMP_W146,PRESGOODBIDEN_W146,OPENIDEN_W146,NECCGOD_W146,BUSPROFIT_W146,GAINS_W146,ACTIVE_W146,GOVNEEDY_W146,MARRFAM_W146,US_ACTIVE_W146,TRANSGEND1_W146,AMDREAM1_W146,AMDREAMPOSS_W146,CONCEDE_W146,IVF_GDBD_W146,RGHTCNTRL_W146,GUNIMPCT_W146,BUSPOWER3_W146,POORASSIST_W146,SUPERPWR_W146,SOCIETY_SSM_W146,SOCIETY_RELG_W146,SOCIETY_LGB_W146,SOCIETY_WHT_W146,SOCIETY_EC_W146,SOCIETY_BC_W146,SOCIETY_THER_W146,SOCIETY_CHILD_W146,SOCIETY_AI_W146,SOCIETY_GUNS_W146,PROBOFF_a_W146,PROBOFF_b_W146,POLINTOL2_REP_W146,POLINTOL2_DEM_W146,ABRTLGL_W146,ABORTION3_W146,ABORTION4_W146,ABRTN_MED_W146,POLIMPT_SFE_W146,POLIMPT_RGHT_W146,POLIMPT_RCL_W146,POLIMPT_RESP_W146,GLBLZE_W146,GLBLZEREV_W146,GLBLZESUM_W146,RACESURV17_W146,CLMSRS1_W146,FIN_SIT_W146,ABRTVIEW_a_W146,ABRTVIEW_b_W146,ABRTVIEW_c_W146,LGLSTATUS_W146,NATLDPRT_W146,LGL_CITIZPRENSHIP_W146,LAWCOST_W146,ECONFAIR_W146,WOMENOBS_W146,GOVAID_W146,SUCCINLIFE_W146,GOODEVIL_W146,CRIMJUST_TGH_W146,MILSAFE_W146,WHADVANT_W146,AMHIST_FAIL_W146,AMHIST_SUCC_W146,GOVTHC_W146,SNGLPYER_W146,NOGOVTHC_W146,SOCSEC_FUT_W146,SOCSEC_RED_W146,SOCSEC_KEEP_W146,DTINDICTHRD_W146,DTINDICTLGL_W146,RPLC_W146,SEEKPOL_W146,SOURCEPOL_W146,AGEATTN1_a_W146,AGEATTN1_b_W146,AGEATTN2_a_W146,AGEATTN2_b_W146,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,HORSE_W146,HORSE_W151,WEIGHT_W146,WEIGHT_W146_W151
100363,2024-04-09T18:39:26Z,2024-04-09T18:50:54Z,2,1,2,,,,,,,2,2,1,2,3,3,2,2,2,,1,2,,5,5,5,5,5,1,3,1,1,2,2,,,1,1,2,,2,,,,2,1,1,3,1,5,3,1,,,,2,1,2,,1,,1,1,1,,2,,1,,,,2,3,,,,2,2,1,,,1,1,2,4,,1,1,3,1,1,2,,2,2,3,2,2,,5,2,,1,,,,1,2,2,,1,3,,,,,,2,,2,,,1,2,2,,,3,1,1,1,2,2,2,2,1,6,2,,1,1,1,1,1,2,2,2,4,2,,2,4,1,9,4,2,1,2,2,2,0.4016470324047953,0.5539924202093133
100598,2024-04-09T17:39:54Z,2024-04-09T17:56:56Z,1,1,2,,,,,,,2,2,1,2,3,1,1,2,2,,1,2,,4,3,4,5,4,3,3,2,3,2,2,,,1,1,1,,2,,,,1,2,1,1,1,3,3,1,,,,1,1,2,,1,,1,2,1,,2,,3,,,,3,3,,,,3,4,4,,,2,1,2,4,,1,1,2,1,1,2,,2,2,2,2,2,,4,2,,1,,,,2,2,1,,1,3,,,,,,2,,2,,,1,2,2,,,2,1,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,1,2,1,4,1,,1,2,1,9,3,2,1,3,2,,0.8078128091357658,
100637,2024-04-10T12:23:08Z,2024-04-10T12:35:08Z,1,1,2,,,,,,,2,2,1,3,2,1,2,1,2,,1,1,,1,1,1,1,1,5,5,5,5,5,2,,,1,1,1,,2,,,,2,1,1,3,3,1,5,2,,,,2,2,1,,1,,1,1,1,,1,,2,,,,4,5,,,,3,3,3,,,4,1,3,4,,3,1,3,1,2,2,,2,3,5,2,3,,2,1,1,,,,,1,2,2,,1,4,,,,,,2,,2,,,4,2,2,,,2,3,1,3,5,3,4,2,2,4,2,,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,2,2,1,1,1,0.7501220604783821,0.5321336942511472
101224,2024-04-09T18:00:11Z,2024-04-09T18:16:53Z,2,1,2,,,,,,,1,2,1,2,2,2,2,1,2,,1,1,,2,2,2,3,3,5,5,5,5,5,2,,,1,2,1,,2,,,,2,1,2,2,2,2,5,1,,,,2,2,1,,1,,1,4,3,,1,,1,,,,5,4,,,,5,5,3,,,1,4,3,3,,3,1,3,1,1,2,,2,3,4,2,1,,1,2,,2,,,,2,2,1,,1,4,,,,,,2,,2,,,1,1,2,,,2,2,1,3,5,3,4,1,2,3,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,6,2,4,1,2,1,,0.6755717393021778,
101437,2024-04-10T17:45:17Z,2024-04-10T18:05:25Z,1,1,1,1,1,3,1,2,2,,,,,,,2,1,,1,1,1,,1,1,2,1,1,5,5,5,5,5,2,2,2,,,,2,2,2,2,2,,,,2,3,1,5,2,2,1,1,,,,3,1,3,,1,,1,,2,,1,5,5,,,3,3,1,,,,1,3,,,3,4,1,,,,,,,2,1,4,5,2,3,1,,2,,1,1,1,1,,,,2,,,2,2,2,,2,,,,1,3,,1,5,1,2,,,2,2,4,3,4,2,2,4,2,,1,1,1,1,3,1,1,1,2,1,,1,1,1,2,2,2,2,2,1,1,0.7212927895697513,0.7441915908096938
101493,2024-04-09T18:00:07Z,2024-04-09T18:26:00Z,2,1,1,1,1,3,3,3,2,,,,,,,2,1,,1,1,1,,1,1,1,1,1,5,5,5,5,5,2,2,1,,,,2,1,1,2,2,,,,1,3,1,5,1,1,1,1,,,,1,1,3,,1,,1,,2,,1,5,3,,,5,1,2,,,,2,1,,,3,4,1,,,,,,,1,2,4,5,3,5,1,,1,1,,1,2,1,,,,2,,,1,1,1,2,,,,,1,3,,2,2,2,3,,,1,4,9,3,4,1,2,3,1,1,1,1,3,1,4,12,,3,6,1,,1,1,1,8,2,1,2,3,1,,0.22209348117335376,
102198,2024-04-11T21:06:45Z,2024-04-14T22:07:57Z,1,1,1,2,1,2,1,2,1,,,,,,,2,2,,2,1,1,,4,3,2,4,3,4,5,5,3,5,1,2,1,,,,2,2,2,1,2,,,,1,1,3,4,1,1,1,2,,,,2,1,2,,2,,1,,2,,1,4,5,,,2,4,2,,,,1,2,,,4,3,1,,,,,,,1,2,2,3,2,5,1,,2,,1,1,1,1,,,,1,,,3,2,2,,2,,,,5,2,,2,2,3,3,,,1,1,2,2,1,2,1,6,2,,1,1,1,1,6,1,1,1,2,1,,1,1,1,1,2,1,1,1,1,1,0.6317792526953773,0.8996106007514185
103379,2024-04-10T15:04:16Z,2024-04-10T15:36:13Z,1,1,1,1,2,3,2,2,2,,,,,,,2,1,,1,1,1,,1,2,2,2,1,5,5,5,5,5,1,2,2,,,,2,1,2,2,2,,,,2,3,1,5,2,2,2,2,,,,2,1,1,,3,,1,,2,,1,5,5,,,5,4,3,,,,2,2,,,3,2,1,,,,,,,1,2,4,5,1,1,1,,1,1,,1,1,1,,,,2,,,4,2,2,,1,,,,1,3,,1,2,1,2,,,1,3,5,2,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,1,5,2,3,1,1,1.0044714479846906,0.9493062218226092
103538,2024-04-09T21:38:44Z,2024-04-12T16:41:57Z,1,1,2,,,,,,,3,2,1,3,3,1,1,1,1,,1,2,,5,5,5,5,5,2,2,1,1,1,1,,,1,1,2,,2,,,,2,2,1,1,2,5,2,1,,,,1,1,2,,1,,1,1,1,,1,,3,,,,3,3,,,,4,5,4,,,4,1,2,4,,1,1,2,1,2,2,,2,3,3,1,1,,5,2,,2,,,,1,2,99,,1,4,,,,,,2,,2,,,2,1,2,,,3,1,1,4,8,3,4,1,1,5,2,,1,1,1,1,1,2,2,2,5,3,2,2,3,1,9,3,2,2,3,2,2,0.3906807434721775,0.3826124886050564
103611,2024-04-09T18:26:15Z,2024-04-09T18:59:32Z,2,1,2,,,,,,,2,2,1,3,3,3,1,1,2,,1,2,,1,1,2,1,1,1,1,2,1,1,2,,,1,1,1,,2,,,,1,1,1,2,1,5,2,2,,,,1,2,2,,2,,1,2,1,,2,,3,,,,2,5,,,,2,3,5,,,1,2,1,2,,3,1,4,3,1,1,,1,3,2,2,1,,3,1,1,,,,,2,2,2,,3,3,,,,,,2,,2,,,2,2,2,,,3,1,1,1,2,1,4,2,1,6,2,,1,1,1,1,6,2,2,2,3,2,,2,3,1,1,3,2,1,2,2,,0.2670389555502274,
