gender,year,major,watch,trust,marriage,abortion,immigration,emperor,hatespeech,liberal_emotional_text,liberal_neutral_text,conservative_emotional_text,conservative_neutral_text,con
1,4,4,1,2,3,1,3,4,2,4,2,4,2,13
1,4,4,2,5,2,2,4,2,1,4,4,4,2,11
2,4,4,1,2,2,2,2,1,2,2,2,3,2,9
2,4,4,2,3,1,2,4,3,1,1,4,1,2,11
1,2,4,2,4,1,1,2,2,4,4,4,2,4,10
1,2,4,2,5,1,1,1,1,1,4,2,5,2,5
2,4,4,1,2,2,2,2,2,1,2,2,3,2,9
1,3,4,1,3,2,4,3,2,2,2,3,2,2,13
1,4,4,1,2,1,1,1,4,2,2,2,3,2,9
2,1,4,1,2,4,2,5,5,5,2,2,2,2,21
2,1,4,4,3,1,1,3,3,3,4,4,4,3,11
2,1,4,3,3,4,3,3,2,2,4,4,2,3,14
1,3,4,2,2,1,1,2,2,2,2,1,3,2,8
1,3,4,1,2,5,1,4,1,1,5,1,1,1,12
2,3,4,3,2,2,1,1,1,1,3,2,3,2,6
2,4,4,3,2,1,3,2,4,2,4,2,2,4,12
2,2,4,2,2,1,3,3,1,2,4,4,4,1,10
2,4,4,1,2,1,4,5,4,1,5,3,5,3,15
1,4,4,1,4,2,2,4,2,3,4,4,3,2,13
1,4,4,1,2,3,1,2,4,2,4,2,1,5,12
1,1,4,1,2,3,4,2,2,2,5,1,5,1,13
1,1,4,2,4,1,2,4,3,4,4,3,4,2,14
1,1,4,2,4,5,2,5,3,3,5,3,2,3,18
1,1,4,2,4,3,2,5,4,2,5,2,1,1,16
1,2,4,1,4,2,2,1,1,1,3,2,1,4,7
1,2,4,3,5,5,2,5,4,2,5,5,3,5,18
2,2,4,1,4,2,4,4,3,2,2,4,3,4,15
2,2,4,1,3,1,1,2,2,1,3,1,3,3,7
2,2,4,2,5,2,1,5,2,5,4,4,2,2,15
2,2,4,1,2,1,1,4,1,3,5,4,2,1,10
2,2,4,2,2,2,2,4,1,2,4,1,4,2,11
2,3,4,2,2,1,2,3,3,3,2,2,3,1,12
1,2,4,1,2,3,3,2,3,2,2,2,3,3,13
