country,year,nbi
Germany,2020,69.12
Canada,2020,67.86
Japan,2020,67.81
Italy,2020,67.11
United Kingdom,2020,68.15
France,2020,67.59
Switzerland,2020,66.68
United States,2020,65.67
Sweden,2020,65.83
Australia,2020,65.76
Spain,2020,64.91
Norway,2020,64.06
Netherlands,2020,64.09
New Zealand,2020,64.13
Finland,2020,62.62
Austria,2020,62.62
Scotland,2020,62.6
Belgium,2020,61.52
Ireland,2020,61.7
Iceland,2020, 
Greece,2020,60.42
Wales,2020,59.78
South Korea,2020,58.51
Northern Ireland,2020,59.16
Singapore,2020,58.07
Poland,2020,57.27
Russia,2020,56.8
Brazil,2020,56.16
Argentina,2020,56.37
Czech Republic,2020,56.52
China,2020,54
Hungary,2020,55.82
Taiwan,2020,55.14
Thailand,2020,55.34
Mexico,2020,54.9
Egypt,2020,53.92
Slovakia,2020, 
Turkey,2020,53.87
Chile,2020,53.32
India,2020,54.03
Peru,2020,53.44
Morocco,2020, 
Indonesia,2020,52.7
South Africa,2020,53.18
United Arab Emirates,2020,52.3
Latvia,2020, 
Israel,2020, 
Ukraine,2020,52.14
Dominican Republic,2020, 
Qatar,2020,50.25
Panama,2020,51.21
Colombia,2020,51.15
Ecuador,2020, 
Mongolia,2020, 
Saudi Arabia,2020,49.19
Kenya,2020,49.11
Tanzania,2020, 
Botswana,2020,48.26
Nigeria,2020,47.37
Palestine,2020, 
Germany,2021,71.06
Canada,2021,70.64
Japan,2021,70.52
Italy,2021,70.23
United Kingdom,2021,70.08
France,2021,70
Switzerland,2021,69.76
United States,2021,69.67
Sweden,2021,69.04
Australia,2021,68.55
Spain,2021,67.87
Norway,2021,67.5
Netherlands,2021,66.61
New Zealand,2021,66.58
Finland,2021,66.15
Austria,2021,66.11
Scotland,2021,65.79
Belgium,2021,64.85
Ireland,2021,64.79
Iceland,2021,63.92
Greece,2021,63.88
Wales,2021,62.5
South Korea,2021,61.5
Northern Ireland,2021,61.27
Singapore,2021,60.82
Poland,2021,59.5
Russia,2021,59.06
Brazil,2021,58.88
Argentina,2021,58.84
Czech Republic,2021,58.72
China,2021,57.93
Hungary,2021,57.79
Taiwan,2021,57.78
Thailand,2021,57.46
Mexico,2021,57.45
Egypt,2021,56.88
Slovakia,2021,56.83
Turkey,2021,56.38
Chile,2021,55.9
India,2021,55.57
Peru,2021,55.57
Morocco,2021,55.13
Indonesia,2021,54.87
South Africa,2021,54.84
United Arab Emirates,2021,54.77
Latvia,2021,54.77
Israel,2021,54.11
Ukraine,2021,54
Dominican Republic,2021,53.82
Qatar,2021,53.52
Panama,2021,53.17
Colombia,2021,52.91
Ecuador,2021,52.83
Mongolia,2021,52.23
Saudi Arabia,2021,51.74
Kenya,2021,51.52
Tanzania,2021,50.99
Botswana,2021,49.86
Nigeria,2021,48.23
Palestine,2021,46.73
Japan,2022,69.53
Germany,2022,69.8
Canada,2022,69.52
United Kingdom,2022,69.13
Italy,2022,69.26
United States,2022,68.28
Switzerland,2022,68.57
France,2022,69.18
Australia,2022,67.94
Sweden,2022,68.1
Spain,2022,67.3
Norway,2022,67.03
Netherlands,2022,65.89
New Zealand,2022,65.63
Finland,2022,65.19
Scotland,2022,65.3
Austria,2022,65.19
Ireland,2022,64.36
