country,session,year,grade_level,word_count,neg,pos,neu,comp
ARG,1,1946,12.4,3362,.107,.28299999,.611,.99989998
AUS,1,1946,17,4530,.063000001,.27700001,.66000003,.99989998
BEL,1,1946,14.3,2501,.101,.25799999,.64099997,.99959999
BLR,1,1946,15.5,3053,.14399999,.28099999,.574,.99970001
BOL,1,1946,12.4,1499,.098999999,.289,.611,.99940002
BRA,1,1946,13.1,1488,.094999999,.35100001,.55400002,.99970001
CAN,1,1946,14.3,1521,.059,.34099999,.60000002,.99970001
CHL,1,1946,15,1376,.068999998,.301,.63099998,.99949998
CHN,1,1946,15.4,2946,.059,.34099999,.60100001,.99989998
COL,1,1946,16.5,3858,.1,.296,.60399997,.99989998
CSK,1,1946,10.5,1374,.075999998,.35600001,.56699997,.99970001
CUB,1,1946,12.9,590,.072999999,.331,.59600002,.9982
ECU,1,1946,19.5,1082,.097000003,.333,.56999999,.99949998
EGY,1,1946,16.1,2667,.079999998,.31600001,.60399997,.99989998
FRA,1,1946,12.8,2882,.106,.28999999,.60299999,.99980003
GBR,1,1946,10.8,4734,.101,.28,.61799997,.99989998
GRC,1,1946,15.1,2333,.117,.303,.58099997,.99980003
HTI,1,1946,13.2,483,.22400001,.34200001,.43399999,.9932
IND,1,1946,15.6,1543,.102,.30000001,.59799999,.99949998
IRN,1,1946,12.5,531,.081,.331,.588,.99720001
LBN,1,1946,16.4,1778,.043000001,.32699999,.63,.99980003
LBR,1,1946,16.299999,1597,.15700001,.38100001,.463,.99980003
LUX,1,1946,12.9,886,.126,.25799999,.616,.99730003
MEX,1,1946,15.9,1588,.14300001,.31299999,.54400003,.99940002
NLD,1,1946,12.3,728,.044,.28400001,.67199999,.9982
NOR,1,1946,14.3,2345,.105,.31900001,.57599998,.99980003
NZL,1,1946,13.5,5688,.106,.294,.60100001,1
PER,1,1946,21.4,2044,.097999997,.31600001,.58600003,.99980003
PHL,1,1946,9.8000002,2388,.125,.296,.579,.99980003
POL,1,1946,13.8,2010,.19499999,.28799999,.51700002,.9989
RUS,1,1946,14.6,7332,.13500001,.28299999,.58200002,1
SAU,1,1946,16.5,552,.028000001,.43599999,.53600001,.9993
SYR,1,1946,15.8,1602,.102,.36500001,.53299999,.99980003
TUR,1,1946,9.1999998,639,.064999998,.33700001,.59899998,.99860001
UKR,1,1946,13,4266,.154,.237,.60900003,.99959999
URY,1,1946,12.4,1465,.13,.25400001,.616,.9989
USA,1,1946,13.1,6261,.077,.31099999,.61199999,1
VEN,1,1946,21.200001,1789,.13699999,.31200001,.55199999,.99959999
