country,year,session,NameofPersonSpeaking,president,grade_level,word_count,neg,pos,neu,comp
USA,1946,1,Mr. Austin,0,13.1,6261,.075000003,.30399999,.62099999,1
USA,1947,2,Mr. Marshall,0,14.3,3179,.093000002,.317,.58999997,.99989998
USA,1948,3,Mr. MARSHALL,0,15,3141,.097999997,.30700001,.59600002,.99989998
USA,1949,4,Mr. ACHESON,0,13.5,3102,.086999997,.333,.57999998,.99989998
USA,1950,5,Mr. ACHESON,0,11.4,5206,.12,.32800001,.55199999,1
USA,1951,6,Mr. ACHESON ,0,10.8,4959,.108,.28200001,.61000001,.99989998
USA,1952,7,Mr. ACHESON ,0,11.8,5331,.113,.28400001,.602,.99989998
USA,1953,8,Mr. Dulles,0,9.8999996,4485,.148,.26199999,.58999997,.99980003
USA,1954,9,Mr. DULLES,0,12.5,3747,.12800001,.287,.58499998,.99989998
USA,1955,10,Mr. Dulles,0,12,4476,.096000001,.25600001,.648,.99989998
USA,1956,11,Mr. HOOVER ,0,10.6,2652,.109,.322,.56900001,.99989998
USA,1957,12,Mr. DULLES ,0,11.6,3332,.15800001,.207,.63499999,.99830002
USA,1958,13,Mr. Dulles,0,11.4,3683,.105,.27900001,.61500001,.99989998
USA,1959,14,Mr. Herter,0,11.6,5575,.102,.31600001,.58200002,1
USA,1960,15,Mr. EISENHOWER,1,13,4707,.103,.30700001,.58999997,1
USA,1961,16,Mr. John F. Kennedy,1,10.5,4546,.17200001,.27500001,.55199999,.99980003
USA,1962,17,Mr. STEVENSON ,0,12.7,5500,.116,.303,.58099997,1
USA,1963,18,Mr. John F. Kennedy,1,10.9,3595,.13500001,.26699999,.59799999,.99980003
USA,1964,19,Mr. Stevenson,0,14.8,5548,.131,.257,.61199999,.99989998
USA,1965,20,Mr. GOLDBERG ,0,13,6194,.086000003,.317,.597,1
USA,1966,21,Mr. GOLDBERG,0,13.4,4440,.106,.26899999,.625,.99989998
USA,1967,22,Mr. GOLDBERG,0,12.5,4444,.113,.28099999,.60600001,.99989998
USA,1968,23,Mr. RUSK,0,13.4,4122,.12899999,.292,.57999998,.99989998
USA,1969,24,Mr. RICHARD M. NIXON,1,11.2,3800,.077,.33500001,.588,1
USA,1970,25,Mr. YOST,0,13.8,5662,.078000002,.30399999,.61699998,1
USA,1971,26,Mr. ROGERS,0,11.8,4788,.07,.294,.63599998,1
USA,1972,27,Mr. Rogers ,0,12.1,3772,.145,.23899999,.616,.99959999
USA,1973,28,Kissinger,0,11.2,2641,.116,.28299999,.60100001,.99980003
USA,1974,29,Mr. Kissinger,0,11,4325,.126,.233,.64099997,.99970001
